edad,estcivil,ingrmens,educacion,satlab,genero,familia
39,Soltero,2290,Universitario incompleto,Neutro,Hombre,2
18,Soltero,1563,Bachillerato completo,Muy insatisfecho,Mujer,1
52,Casado,2148,Bachillerato completo,Neutro,Hombre,2
42,Soltero,1958,Bachillerato incompleto,Muy satisfecho,Mujer,1
43,Soltero,3254,Universitario incompleto,Neutro,Mujer,1
49,Casado,2195,Bachillerato completo,Insatisfecho,Mujer,3
38,Casado,1658,Bachillerato incompleto,Neutro,Hombre,4
58,Casado,1769,Bachillerato incompleto,Muy satisfecho,Hombre,2
50,Soltero,2053,Bachillerato incompleto,Insatisfecho,Mujer,1
20,Casado,1627,Universitario incompleto,Muy insatisfecho,Mujer,5
28,Soltero,2022,Bachillerato completo,Neutro,Hombre,1
33,Casado,2274,Bachillerato completo,Insatisfecho,Mujer,4
41,Casado,2211,Bachillerato incompleto,Satisfecho,Hombre,7
44,Casado,1816,Bachillerato incompleto,Satisfecho,Hombre,4
28,Soltero,1627,Universitario incompleto,Muy insatisfecho,Mujer,1
65,Soltero,4313,Bachillerato completo,Muy satisfecho,Mujer,1
37,Casado,1911,Post-universitario,Muy insatisfecho,Hombre,3
45,Soltero,1848,Bachillerato incompleto,Neutro,Mujer,1
30,Casado,1658,Universitario incompleto,Insatisfecho,Mujer,4
39,Soltero,1800,Bachillerato incompleto,Muy satisfecho,Mujer,2
70,Casado,2891,Universitario incompleto,Muy satisfecho,Mujer,2
42,Casado,1627,Bachillerato incompleto,Muy satisfecho,Hombre,4
34,Casado,1974,Bachillerato completo,Satisfecho,Hombre,5
65,Casado,1974,Bachillerato completo,Satisfecho,Mujer,2
38,Soltero,2195,Bachillerato completo,Muy satisfecho,Hombre,1
36,Casado,1642,Bachillerato completo,Insatisfecho,Mujer,2
34,Soltero,2622,Universitario completo,Muy satisfecho,Hombre,1
62,Casado,1974,Bachillerato completo,Satisfecho,Hombre,2
37,Soltero,2085,Universitario incompleto,Neutro,Mujer,1
43,Soltero,3775,Universitario completo,Muy insatisfecho,Hombre,2
65,Soltero,1563,Bachillerato completo,Muy insatisfecho,Hombre,1
23,Casado,1658,Bachillerato incompleto,Muy insatisfecho,Hombre,5
35,Soltero,1958,Bachillerato completo,Muy satisfecho,Mujer,2
56,Casado,1516,Bachillerato completo,Neutro,Hombre,2
64,Casado,2022,Universitario incompleto,Muy satisfecho,Mujer,4
50,Casado,2417,Bachillerato completo,Insatisfecho,Mujer,5
39,Soltero,1911,Bachillerato incompleto,Muy satisfecho,Hombre,1
25,Soltero,2859,Universitario completo,Insatisfecho,Hombre,1
30,Casado,1816,Universitario incompleto,Neutro,Mujer,5
45,Soltero,3049,Universitario incompleto,Muy satisfecho,Hombre,1
59,Soltero,2022,Universitario completo,Insatisfecho,Hombre,1
29,Casado,1911,Universitario completo,Insatisfecho,Mujer,4
33,Soltero,2101,Bachillerato incompleto,Muy satisfecho,Mujer,1
51,Casado,2353,Bachillerato incompleto,Insatisfecho,Mujer,2
33,Soltero,2006,Universitario completo,Insatisfecho,Mujer,1
45,Casado,2290,Bachillerato completo,Muy satisfecho,Mujer,4
54,Soltero,2006,Bachillerato completo,Satisfecho,Mujer,3
57,Soltero,2132,Bachillerato completo,Satisfecho,Hombre,1
40,Soltero,1785,Bachillerato incompleto,Muy insatisfecho,Mujer,1
24,Soltero,1753,Bachillerato completo,Muy insatisfecho,Hombre,1
40,Casado,1879,Universitario incompleto,Insatisfecho,Hombre,2
49,Casado,2180,Bachillerato completo,Muy satisfecho,Hombre,4
33,Casado,1911,Bachillerato completo,Satisfecho,Mujer,3
35,Soltero,1832,Bachillerato completo,Muy insatisfecho,Mujer,1
27,Soltero,1832,Bachillerato completo,Insatisfecho,Hombre,2
20,Casado,1579,Universitario incompleto,Muy insatisfecho,Hombre,5
49,Casado,3333,Universitario incompleto,Satisfecho,Hombre,2
28,Soltero,2085,Universitario completo,Insatisfecho,Hombre,1
27,Casado,1642,Universitario completo,Muy insatisfecho,Mujer,4
19,Casado,1674,Bachillerato completo,Neutro,Hombre,6
36,Casado,2037,Universitario incompleto,Insatisfecho,Mujer,5
33,Soltero,1832,Universitario incompleto,Insatisfecho,Mujer,1
56,Casado,1990,Bachillerato completo,Muy satisfecho,Hombre,2
38,Soltero,1974,Universitario incompleto,Neutro,Hombre,1
42,Casado,3365,Bachillerato incompleto,Muy satisfecho,Hombre,3
34,Soltero,2053,Universitario completo,Muy insatisfecho,Hombre,1
38,Soltero,1990,Bachillerato completo,Satisfecho,Mujer,1
42,Soltero,2401,Bachillerato incompleto,Neutro,Hombre,3
44,Soltero,1816,Universitario incompleto,Muy insatisfecho,Hombre,1
31,Soltero,1800,Universitario completo,Muy satisfecho,Hombre,1
53,Soltero,2148,Bachillerato incompleto,Muy insatisfecho,Mujer,1
41,Casado,3981,Bachillerato completo,Satisfecho,Mujer,2
31,Casado,2037,Bachillerato completo,Neutro,Hombre,2
47,Soltero,3080,Universitario incompleto,Muy satisfecho,Mujer,1
34,Casado,2006,Universitario completo,Insatisfecho,Mujer,3
64,Casado,1785,Bachillerato completo,Neutro,Hombre,4
26,Soltero,1800,Universitario completo,Muy insatisfecho,Mujer,4
66,Soltero,9021,Bachillerato completo,Satisfecho,Mujer,1
60,Casado,1911,Post-universitario,Insatisfecho,Hombre,2
63,Casado,1563,Universitario completo,Satisfecho,Hombre,2
39,Soltero,2701,Bachillerato completo,Satisfecho,Mujer,3
36,Soltero,1958,Bachillerato completo,Insatisfecho,Hombre,1
38,Casado,2875,Universitario completo,Insatisfecho,Mujer,2
45,Casado,2037,Bachillerato incompleto,Insatisfecho,Mujer,2
50,Soltero,4249,Universitario completo,Muy satisfecho,Mujer,1
34,Casado,2006,Universitario completo,Insatisfecho,Mujer,2
26,Soltero,1674,Universitario completo,Muy insatisfecho,Mujer,1
49,Casado,2290,Universitario completo,Muy insatisfecho,Mujer,2
40,Casado,2132,Bachillerato completo,Insatisfecho,Hombre,5
64,Casado,1516,Universitario completo,Muy insatisfecho,Hombre,2
52,Casado,3128,Universitario incompleto,Satisfecho,Hombre,3
33,Soltero,1895,Universitario completo,Satisfecho,Hombre,3
36,Casado,2227,Bachillerato completo,Insatisfecho,Hombre,3
34,Soltero,2243,Universitario completo,Neutro,Hombre,2
49,Casado,2922,Post-universitario,Muy satisfecho,Hombre,3
20,Casado,1706,Bachillerato completo,Muy insatisfecho,Mujer,4
56,Casado,2875,Universitario completo,Satisfecho,Hombre,2
47,Soltero,2575,Bachillerato completo,Neutro,Hombre,1
46,Casado,2780,Bachillerato completo,Neutro,Mujer,3
39,Casado,2575,Bachillerato completo,Neutro,Mujer,2
51,Casado,2733,Bachillerato completo,Muy satisfecho,Mujer,5
46,Soltero,3633,Universitario completo,Insatisfecho,Hombre,1
28,Soltero,1800,Bachillerato incompleto,Neutro,Mujer,1
32,Soltero,1611,Bachillerato incompleto,Muy insatisfecho,Hombre,1
63,Soltero,1848,Universitario completo,Muy satisfecho,Hombre,1
45,Casado,3096,Universitario incompleto,Satisfecho,Mujer,4
56,Casado,4534,Bachillerato completo,Muy satisfecho,Mujer,2
60,Soltero,1879,Universitario incompleto,Muy satisfecho,Hombre,1
24,Casado,1642,Bachillerato completo,Insatisfecho,Hombre,5
55,Soltero,2954,Universitario incompleto,Muy satisfecho,Mujer,1
52,Casado,2022,Universitario incompleto,Insatisfecho,Hombre,2
51,Soltero,3333,Bachillerato completo,Insatisfecho,Mujer,1
62,Casado,1674,Universitario incompleto,Insatisfecho,Mujer,3
33,Casado,1721,Bachillerato completo,Insatisfecho,Mujer,5
40,Casado,2733,Universitario incompleto,Muy satisfecho,Hombre,5
68,Soltero,2322,Bachillerato completo,Neutro,Mujer,1
30,Casado,2116,Bachillerato completo,Satisfecho,Mujer,4
35,Casado,1927,Universitario completo,Insatisfecho,Mujer,4
56,Soltero,4044,Post-universitario,Muy satisfecho,Hombre,1
27,Soltero,2195,Universitario completo,Muy insatisfecho,Hombre,1
45,Soltero,1943,Universitario completo,Insatisfecho,Hombre,1
57,Casado,3112,Bachillerato incompleto,Neutro,Hombre,3
29,Soltero,1627,Bachillerato completo,Muy insatisfecho,Mujer,5
62,Soltero,2875,Universitario incompleto,Neutro,Hombre,1
61,Soltero,4186,Bachillerato incompleto,Muy satisfecho,Hombre,1
34,Soltero,1627,Bachillerato completo,Neutro,Mujer,1
45,Soltero,1911,Bachillerato completo,Satisfecho,Mujer,1
47,Soltero,1800,Bachillerato completo,Satisfecho,Mujer,1
47,Casado,2101,Universitario incompleto,Muy satisfecho,Mujer,2
39,Casado,2322,Universitario completo,Muy insatisfecho,Mujer,4
46,Casado,2211,Bachillerato completo,Neutro,Hombre,2
46,Soltero,2780,Universitario completo,Muy satisfecho,Mujer,1
32,Casado,1879,Bachillerato completo,Satisfecho,Mujer,2
51,Casado,1911,Universitario incompleto,Insatisfecho,Mujer,5
54,Casado,3570,Bachillerato completo,Muy satisfecho,Mujer,4
25,Soltero,2290,Universitario incompleto,Muy insatisfecho,Hombre,3
55,Soltero,2875,Bachillerato completo,Satisfecho,Mujer,1
47,Soltero,2180,Universitario completo,Muy insatisfecho,Mujer,1
49,Soltero,2685,Bachillerato completo,Insatisfecho,Mujer,1
37,Casado,1958,Bachillerato completo,Muy satisfecho,Mujer,4
51,Soltero,1753,Bachillerato incompleto,Satisfecho,Hombre,1
66,Soltero,1706,Bachillerato incompleto,Neutro,Mujer,1
24,Casado,1895,Universitario completo,Neutro,Mujer,3
50,Soltero,2733,Universitario completo,Neutro,Mujer,1
39,Casado,2369,Bachillerato completo,Muy satisfecho,Hombre,2
29,Soltero,1832,Universitario completo,Neutro,Hombre,1
53,Casado,3696,Bachillerato completo,Insatisfecho,Mujer,4
27,Casado,2037,Bachillerato completo,Insatisfecho,Mujer,2
31,Soltero,1895,Bachillerato completo,Muy insatisfecho,Hombre,2
37,Casado,2006,Post-universitario,Muy insatisfecho,Mujer,2
49,Casado,2954,Bachillerato incompleto,Neutro,Hombre,2
45,Soltero,2417,Bachillerato completo,Satisfecho,Mujer,1
39,Casado,1737,Bachillerato incompleto,Insatisfecho,Mujer,6
52,Soltero,2069,Bachillerato incompleto,Satisfecho,Mujer,1
33,Soltero,2053,Universitario completo,Neutro,Mujer,1
32,Casado,2148,Bachillerato completo,Insatisfecho,Mujer,4
66,Soltero,1500,Bachillerato completo,Muy satisfecho,Hombre,1
67,Casado,3965,Bachillerato incompleto,Satisfecho,Hombre,2
60,Soltero,2417,Universitario incompleto,Muy insatisfecho,Mujer,1
35,Soltero,2101,Universitario incompleto,Muy insatisfecho,Hombre,1
54,Soltero,2274,Post-universitario,Satisfecho,Hombre,1
32,Soltero,1690,Bachillerato incompleto,Satisfecho,Hombre,1
56,Soltero,3033,Bachillerato completo,Muy satisfecho,Mujer,1
59,Casado,1958,Bachillerato incompleto,Muy satisfecho,Hombre,2
43,Soltero,3412,Post-universitario,Neutro,Mujer,1
48,Casado,1848,Universitario incompleto,Muy insatisfecho,Hombre,2
43,Casado,2906,Bachillerato incompleto,Muy satisfecho,Mujer,3
46,Soltero,3870,Universitario incompleto,Satisfecho,Mujer,1
55,Casado,1690,Bachillerato incompleto,Satisfecho,Mujer,2
54,Casado,2148,Post-universitario,Insatisfecho,Hombre,2
38,Casado,2369,Universitario completo,Insatisfecho,Mujer,4
23,Casado,1737,Bachillerato completo,Neutro,Hombre,4
33,Soltero,1864,Bachillerato incompleto,Muy satisfecho,Hombre,1
58,Soltero,5513,Bachillerato completo,Satisfecho,Hombre,1
29,Soltero,1848,Universitario completo,Insatisfecho,Mujer,2
47,Soltero,1769,Universitario completo,Insatisfecho,Mujer,1
38,Casado,1816,Bachillerato completo,Neutro,Mujer,4
58,Soltero,1642,Universitario completo,Muy satisfecho,Mujer,1
47,Soltero,1879,Bachillerato incompleto,Muy satisfecho,Mujer,1
39,Soltero,2211,Universitario completo,Insatisfecho,Hombre,1
21,Soltero,1816,Universitario incompleto,Insatisfecho,Mujer,1
27,Casado,1895,Bachillerato completo,Muy insatisfecho,Hombre,4
36,Casado,1737,Universitario incompleto,Muy insatisfecho,Hombre,6
39,Soltero,2180,Universitario incompleto,Insatisfecho,Mujer,1
56,Casado,3207,Bachillerato completo,Satisfecho,Hombre,2
26,Casado,1737,Universitario completo,Insatisfecho,Hombre,4
63,Soltero,3475,Bachillerato incompleto,Muy satisfecho,Hombre,1
46,Soltero,2511,Bachillerato completo,Muy satisfecho,Hombre,3
65,Casado,5624,Universitario completo,Satisfecho,Hombre,2
55,Casado,1785,Universitario incompleto,Muy insatisfecho,Hombre,2
29,Casado,1706,Bachillerato completo,Insatisfecho,Hombre,5
71,Soltero,1563,Bachillerato incompleto,Satisfecho,Hombre,1
43,Soltero,1832,Universitario incompleto,Neutro,Hombre,1
39,Soltero,2053,Universitario incompleto,Muy satisfecho,Hombre,1
31,Soltero,1642,Bachillerato incompleto,Satisfecho,Mujer,1
39,Casado,1864,Bachillerato completo,Muy insatisfecho,Mujer,4
29,Soltero,1721,Universitario incompleto,Muy insatisfecho,Mujer,1
32,Casado,2180,Universitario incompleto,Muy insatisfecho,Hombre,4
53,Casado,3064,Bachillerato incompleto,Muy satisfecho,Hombre,2
50,Soltero,2685,Universitario completo,Insatisfecho,Mujer,1
34,Casado,1642,Bachillerato completo,Insatisfecho,Mujer,2
24,Casado,1627,Universitario completo,Muy insatisfecho,Mujer,3
32,Casado,1848,Bachillerato completo,Satisfecho,Mujer,5
32,Casado,1769,Bachillerato incompleto,Neutro,Hombre,2
50,Casado,1958,Post-universitario,Satisfecho,Mujer,2
72,Soltero,1611,Bachillerato completo,Neutro,Hombre,1
48,Soltero,3665,Bachillerato completo,Muy satisfecho,Mujer,2
31,Soltero,2085,Post-universitario,Muy insatisfecho,Mujer,2
47,Casado,2748,Bachillerato completo,Muy satisfecho,Mujer,3
38,Casado,2922,Bachillerato completo,Muy satisfecho,Mujer,3
29,Casado,1816,Universitario completo,Muy insatisfecho,Mujer,4
20,Casado,2132,Universitario incompleto,Neutro,Mujer,5
35,Soltero,2338,Bachillerato completo,Satisfecho,Hombre,3
40,Casado,1737,Bachillerato incompleto,Muy satisfecho,Hombre,4
62,Soltero,2022,Universitario incompleto,Muy satisfecho,Mujer,1
45,Soltero,3080,Universitario incompleto,Insatisfecho,Hombre,1
45,Soltero,2274,Bachillerato incompleto,Neutro,Mujer,1
32,Soltero,1958,Bachillerato completo,Muy satisfecho,Mujer,1
57,Casado,3475,Universitario completo,Satisfecho,Mujer,2
27,Soltero,1879,Universitario incompleto,Muy insatisfecho,Hombre,3
39,Casado,2511,Universitario incompleto,Neutro,Hombre,2
59,Soltero,3380,Universitario incompleto,Neutro,Mujer,1
41,Soltero,2385,Universitario incompleto,Neutro,Hombre,1
27,Casado,1848,Bachillerato incompleto,Insatisfecho,Mujer,3
49,Soltero,1785,Universitario incompleto,Insatisfecho,Mujer,1
49,Casado,1927,Bachillerato completo,Neutro,Mujer,2
53,Casado,10980,Universitario incompleto,Muy satisfecho,Mujer,2
53,Casado,2132,Bachillerato incompleto,Neutro,Hombre,2
38,Soltero,1974,Bachillerato incompleto,Neutro,Mujer,1
24,Soltero,1958,Universitario completo,Muy insatisfecho,Mujer,3
45,Casado,3096,Bachillerato completo,Muy insatisfecho,Mujer,4
28,Casado,1737,Bachillerato completo,Insatisfecho,Mujer,4
35,Soltero,2369,Universitario completo,Muy satisfecho,Hombre,1
22,Soltero,1690,Bachillerato incompleto,Muy insatisfecho,Hombre,2
41,Soltero,2511,Bachillerato incompleto,Muy satisfecho,Mujer,1
36,Casado,1974,Universitario completo,Neutro,Mujer,2
47,Casado,2306,Bachillerato incompleto,Insatisfecho,Hombre,5
28,Casado,1753,Universitario incompleto,Insatisfecho,Hombre,2
41,Soltero,2006,Bachillerato completo,Neutro,Mujer,1
54,Soltero,3222,Bachillerato completo,Insatisfecho,Hombre,1
42,Soltero,2432,Bachillerato completo,Muy satisfecho,Hombre,2
37,Casado,1943,Bachillerato completo,Insatisfecho,Mujer,2
44,Casado,3143,Universitario incompleto,Neutro,Hombre,5
29,Soltero,1848,Universitario completo,Satisfecho,Hombre,2
37,Casado,1895,Universitario completo,Muy insatisfecho,Mujer,3
21,Soltero,1642,Bachillerato completo,Insatisfecho,Mujer,1
33,Casado,1800,Universitario completo,Satisfecho,Hombre,2
54,Casado,1879,Universitario incompleto,Satisfecho,Hombre,3
26,Casado,1753,Bachillerato completo,Satisfecho,Mujer,4
38,Soltero,2132,Universitario completo,Muy insatisfecho,Mujer,1
62,Soltero,1642,Bachillerato completo,Muy satisfecho,Hombre,1
31,Soltero,1627,Universitario completo,Insatisfecho,Hombre,4
66,Soltero,1721,Bachillerato incompleto,Muy satisfecho,Hombre,1
33,Soltero,2259,Bachillerato completo,Insatisfecho,Hombre,1
58,Casado,3333,Universitario completo,Insatisfecho,Hombre,2
50,Soltero,3001,Bachillerato incompleto,Muy satisfecho,Hombre,1
38,Soltero,2227,Universitario completo,Muy insatisfecho,Mujer,1
28,Soltero,1753,Universitario completo,Muy satisfecho,Mujer,1
44,Soltero,1958,Universitario incompleto,Muy insatisfecho,Hombre,5
39,Soltero,1769,Universitario incompleto,Insatisfecho,Mujer,1
66,Casado,3760,Universitario completo,Muy insatisfecho,Mujer,3
49,Soltero,2037,Bachillerato completo,Satisfecho,Hombre,2
46,Casado,1974,Bachillerato completo,Satisfecho,Hombre,3
73,Casado,1595,Post-universitario,Satisfecho,Hombre,2
34,Soltero,2132,Bachillerato incompleto,Satisfecho,Mujer,1
29,Soltero,1879,Universitario completo,Insatisfecho,Hombre,1
32,Casado,1642,Bachillerato completo,Neutro,Mujer,3
19,Casado,1958,Bachillerato completo,Muy insatisfecho,Mujer,4
69,Casado,1674,Bachillerato incompleto,Muy satisfecho,Hombre,2
43,Casado,5039,Universitario completo,Muy satisfecho,Hombre,2
30,Casado,1974,Bachillerato incompleto,Neutro,Mujer,4
42,Soltero,1753,Bachillerato completo,Muy satisfecho,Mujer,1
38,Casado,2780,Universitario completo,Neutro,Hombre,2
43,Casado,2985,Universitario completo,Neutro,Hombre,4
40,Soltero,1690,Bachillerato incompleto,Muy insatisfecho,Hombre,1
56,Casado,2417,Universitario completo,Muy satisfecho,Mujer,2
44,Casado,3207,Universitario completo,Neutro,Mujer,2
58,Casado,4992,Post-universitario,Muy satisfecho,Hombre,3
34,Soltero,2101,Bachillerato incompleto,Muy insatisfecho,Hombre,1
50,Soltero,2654,Bachillerato incompleto,Muy satisfecho,Mujer,1
54,Casado,8768,Universitario incompleto,Muy insatisfecho,Mujer,3
55,Soltero,2227,Bachillerato completo,Satisfecho,Hombre,1
28,Soltero,1721,Universitario completo,Muy insatisfecho,Hombre,2
40,Casado,1769,Universitario incompleto,Satisfecho,Hombre,3
42,Soltero,4044,Post-universitario,Neutro,Mujer,1
30,Soltero,1785,Universitario incompleto,Muy insatisfecho,Hombre,1
50,Soltero,2164,Universitario completo,Satisfecho,Hombre,2
60,Soltero,1753,Universitario completo,Muy satisfecho,Hombre,2
36,Soltero,2464,Bachillerato completo,Insatisfecho,Mujer,1
43,Casado,5687,Universitario completo,Muy satisfecho,Mujer,3
46,Casado,1800,Bachillerato completo,Insatisfecho,Mujer,3
43,Soltero,2480,Bachillerato completo,Muy satisfecho,Hombre,1
31,Casado,2211,Bachillerato completo,Neutro,Hombre,6
42,Casado,3839,Bachillerato completo,Neutro,Mujer,7
49,Casado,3064,Bachillerato completo,Neutro,Hombre,4
26,Soltero,1658,Bachillerato completo,Insatisfecho,Mujer,4
34,Soltero,1927,Universitario completo,Neutro,Hombre,3
25,Casado,1690,Universitario completo,Insatisfecho,Mujer,2
41,Casado,1895,Bachillerato incompleto,Insatisfecho,Hombre,4
30,Soltero,1753,Bachillerato incompleto,Muy insatisfecho,Mujer,1
36,Casado,2606,Bachillerato completo,Satisfecho,Mujer,3
50,Soltero,3965,Universitario completo,Satisfecho,Mujer,1
34,Soltero,2417,Bachillerato completo,Muy insatisfecho,Mujer,1
42,Soltero,2259,Bachillerato completo,Satisfecho,Mujer,1
37,Soltero,2085,Universitario completo,Insatisfecho,Hombre,1
59,Soltero,2496,Universitario incompleto,Satisfecho,Mujer,1
52,Soltero,1943,Bachillerato incompleto,Satisfecho,Hombre,1
26,Soltero,1642,Bachillerato completo,Muy insatisfecho,Hombre,3
49,Casado,3997,Universitario completo,Neutro,Hombre,2
35,Soltero,1848,Universitario incompleto,Satisfecho,Hombre,1
28,Soltero,1737,Bachillerato incompleto,Insatisfecho,Hombre,1
42,Soltero,2496,Bachillerato completo,Neutro,Mujer,2
48,Soltero,1800,Universitario incompleto,Neutro,Mujer,1
34,Casado,5340,Universitario completo,Neutro,Mujer,3
45,Casado,2164,Universitario incompleto,Muy insatisfecho,Hombre,2
24,Soltero,1611,Universitario completo,Muy insatisfecho,Hombre,3
69,Soltero,2037,Universitario incompleto,Muy satisfecho,Mujer,1
24,Soltero,1753,Bachillerato incompleto,Neutro,Mujer,3
55,Casado,1990,Bachillerato incompleto,Insatisfecho,Mujer,4
39,Casado,2622,Bachillerato completo,Neutro,Hombre,2
64,Casado,3459,Bachillerato incompleto,Satisfecho,Mujer,6
24,Soltero,1848,Universitario completo,Muy insatisfecho,Hombre,1
37,Soltero,2511,Universitario incompleto,Insatisfecho,Hombre,1
30,Soltero,1721,Universitario incompleto,Neutro,Mujer,1
39,Casado,4708,Universitario incompleto,Neutro,Hombre,5
74,Casado,2180,Bachillerato incompleto,Muy satisfecho,Hombre,2
66,Casado,3744,Universitario completo,Satisfecho,Mujer,2
39,Soltero,3064,Bachillerato completo,Insatisfecho,Mujer,2
37,Soltero,1816,Bachillerato incompleto,Muy satisfecho,Hombre,1
43,Soltero,1800,Bachillerato completo,Muy insatisfecho,Mujer,1
32,Soltero,1800,Universitario incompleto,Satisfecho,Mujer,1
28,Casado,1690,Bachillerato completo,Insatisfecho,Mujer,5
64,Casado,17047,Universitario completo,Muy satisfecho,Hombre,2
39,Casado,2780,Bachillerato completo,Insatisfecho,Mujer,5
65,Soltero,2527,Universitario completo,Muy satisfecho,Mujer,1
43,Casado,2306,Universitario completo,Satisfecho,Mujer,6
47,Casado,3128,Universitario incompleto,Insatisfecho,Mujer,2
59,Soltero,1706,Universitario completo,Neutro,Mujer,1
27,Casado,2053,Bachillerato incompleto,Muy satisfecho,Mujer,4
36,Soltero,1595,Bachillerato completo,Muy insatisfecho,Mujer,1
19,Casado,1769,Bachillerato completo,Muy insatisfecho,Mujer,4
48,Soltero,3143,Bachillerato incompleto,Satisfecho,Mujer,1
36,Casado,2796,Post-universitario,Muy insatisfecho,Hombre,4
53,Casado,3254,Universitario incompleto,Neutro,Mujer,2
34,Casado,2227,Bachillerato completo,Satisfecho,Hombre,6
61,Soltero,2322,Universitario completo,Muy satisfecho,Mujer,1
37,Soltero,2369,Universitario incompleto,Insatisfecho,Hombre,3
53,Soltero,5403,Bachillerato completo,Muy satisfecho,Hombre,1
38,Casado,2559,Bachillerato incompleto,Muy satisfecho,Hombre,3
33,Soltero,1864,Universitario completo,Muy insatisfecho,Mujer,1
40,Casado,1879,Universitario incompleto,Insatisfecho,Mujer,3
26,Soltero,1706,Universitario incompleto,Neutro,Hombre,5
29,Soltero,1864,Bachillerato completo,Neutro,Mujer,3
37,Soltero,2322,Universitario completo,Muy satisfecho,Hombre,1
66,Casado,2985,Bachillerato completo,Muy satisfecho,Hombre,2
49,Soltero,4155,Universitario incompleto,Muy satisfecho,Hombre,1
43,Soltero,2401,Universitario completo,Insatisfecho,Hombre,1
40,Soltero,1848,Bachillerato completo,Insatisfecho,Mujer,1
45,Soltero,1879,Universitario completo,Insatisfecho,Hombre,1
69,Soltero,1706,Bachillerato incompleto,Muy satisfecho,Hombre,1
20,Soltero,1579,Bachillerato incompleto,Muy insatisfecho,Mujer,1
45,Casado,2006,Bachillerato incompleto,Insatisfecho,Mujer,4
39,Casado,3017,Bachillerato incompleto,Insatisfecho,Hombre,4
58,Casado,3380,Universitario incompleto,Muy satisfecho,Mujer,2
61,Soltero,4787,Post-universitario,Muy satisfecho,Mujer,1
43,Soltero,2812,Universitario completo,Neutro,Mujer,1
39,Soltero,1848,Bachillerato completo,Satisfecho,Hombre,2
28,Soltero,1927,Bachillerato completo,Satisfecho,Hombre,1
55,Soltero,6288,Universitario completo,Neutro,Mujer,4
45,Soltero,1911,Bachillerato incompleto,Neutro,Mujer,1
36,Casado,2827,Bachillerato completo,Muy satisfecho,Mujer,3
30,Soltero,1927,Universitario completo,Muy insatisfecho,Mujer,3
58,Casado,1532,Universitario incompleto,Muy satisfecho,Hombre,2
48,Casado,3396,Bachillerato completo,Neutro,Hombre,3
66,Casado,1832,Bachillerato completo,Insatisfecho,Hombre,2
23,Soltero,1658,Universitario incompleto,Muy insatisfecho,Hombre,1
40,Casado,1706,Bachillerato completo,Insatisfecho,Hombre,5
56,Soltero,1816,Universitario incompleto,Satisfecho,Mujer,1
51,Soltero,3396,Universitario completo,Insatisfecho,Mujer,1
44,Casado,2543,Universitario incompleto,Satisfecho,Hombre,4
30,Casado,2322,Bachillerato completo,Insatisfecho,Mujer,2
26,Soltero,1753,Bachillerato incompleto,Insatisfecho,Mujer,3
27,Casado,1753,Universitario completo,Muy insatisfecho,Mujer,4
21,Casado,1706,Universitario incompleto,Muy insatisfecho,Hombre,6
51,Soltero,2464,Bachillerato incompleto,Muy satisfecho,Hombre,1
46,Casado,1753,Universitario incompleto,Muy satisfecho,Hombre,2
49,Soltero,2037,Bachillerato completo,Muy insatisfecho,Hombre,2
31,Casado,1721,Bachillerato completo,Insatisfecho,Mujer,3
70,Casado,2543,Universitario incompleto,Satisfecho,Hombre,2
66,Casado,2290,Universitario completo,Insatisfecho,Hombre,2
67,Soltero,5877,Universitario completo,Insatisfecho,Mujer,1
45,Soltero,2938,Bachillerato completo,Insatisfecho,Mujer,1
69,Soltero,1690,Bachillerato incompleto,Muy insatisfecho,Hombre,1
40,Casado,1911,Bachillerato incompleto,Muy insatisfecho,Hombre,4
53,Soltero,2085,Post-universitario,Muy insatisfecho,Hombre,1
48,Casado,2859,Bachillerato completo,Muy satisfecho,Mujer,2
33,Soltero,1927,Bachillerato incompleto,Muy satisfecho,Hombre,1
66,Casado,1658,Universitario completo,Muy satisfecho,Mujer,2
36,Soltero,1864,Universitario completo,Muy insatisfecho,Hombre,1
61,Casado,1706,Bachillerato incompleto,Insatisfecho,Hombre,5
39,Casado,2417,Universitario incompleto,Muy insatisfecho,Hombre,3
68,Soltero,1642,Bachillerato completo,Insatisfecho,Hombre,1
41,Casado,2195,Universitario completo,Muy satisfecho,Hombre,5
61,Soltero,1579,Bachillerato completo,Neutro,Mujer,1
49,Soltero,3649,Bachillerato completo,Muy satisfecho,Mujer,2
71,Casado,2085,Universitario incompleto,Neutro,Hombre,2
31,Soltero,1690,Bachillerato completo,Muy satisfecho,Hombre,1
59,Casado,1895,Universitario completo,Neutro,Hombre,2
58,Casado,1563,Bachillerato incompleto,Muy satisfecho,Hombre,2
45,Soltero,1800,Bachillerato completo,Neutro,Hombre,2
50,Casado,1864,Bachillerato incompleto,Neutro,Hombre,4
34,Casado,2543,Post-universitario,Neutro,Hombre,2
64,Casado,1595,Universitario incompleto,Muy satisfecho,Hombre,2
66,Casado,1595,Post-universitario,Satisfecho,Mujer,2
44,Casado,2148,Bachillerato incompleto,Satisfecho,Hombre,4
59,Casado,1706,Bachillerato completo,Muy insatisfecho,Hombre,2
30,Casado,1706,Universitario incompleto,Insatisfecho,Hombre,4
27,Casado,1895,Universitario incompleto,Insatisfecho,Mujer,3
36,Soltero,2464,Post-universitario,Satisfecho,Mujer,1
29,Casado,2180,Bachillerato incompleto,Muy insatisfecho,Mujer,4
